close jab,hl,30,50,20,ch/sp/su,4,3,5,+3,+6,
close strong,hl,70,100,40,sp/su,5,5,15,-4,+6,
close fierce,hl,90,200,60,sp/su,8,4,15,-1,+4,forces stand
close short,hl,35,50,20,sp/su,5,3,7,+1,+4,
close forward,hl,75,100,40,sp/su,5,6,9,-1,+5,forces stand
close roundhouse,hl,120,200,60,-,7,3,21,-6,-2,can juggle
far jab,hl,30,50,20,ch/sp/su,3,3,6,+2,+5,
far strong,hl,80,100,40,su,7,4,13,-3,0,
far fierce,hl,120,200,60,-,8,3,14,+1,+5,
far short,hl,40,50,20,sp/su,5,3,8,0,+3,
far forward,hl,75,100,40,-,8,4,13,-3,0,
far roundhouse,hl,40*80,100*100,40*40,-,9,2*4,17,-3,+1,
crouch jab,hl,30,50,20,sp/su,3,3,6,+2,+5,
crouch strong,hl,60,100,40,sp/su,5,2,11,+1,+4,
crouch fierce,hl,100,200,60,su,9,3,16,-1,+4,forces stand
crouch short,l,40,50,20,sp/su,4,2,7,+2,+5,
crouch forward,l,70,100,40,sp/su,6,2,14,-2,+1,
crouch roundhouse,l,110,200,60,-,9,2,21,-5,-,untechable knockdown
jump up jab,h,40,50,20,-,4,10,-,-,-,legs are immune to projectiles until end of startup frames
jump up strong,h,80,100,40,-,6,7,-,-,-,legs are immune to projectiles until end of startup frames
jump up fierce,h,100,200,60,-,7,3,-,-,-,legs are immune to projectiles until end of startup frames
jump up short,h,45,50,20,-,4,16,-,-,-,legs are immune to projectiles until end of startup frames
jump up forward,h,85,100,40,sp,5,8,-,-,-,legs are immune to projectiles until end of startup frames
jump up roundhouse,h,110,200,60,-,5,6,-,-,-,legs are immune to projectiles until end of startup frames
jump forward jab,h,40,50,20,-,4,9,-,-,-,legs are immune to projectiles until end of startup frames
jump forward strong,h,80,100,40,-,6,7,-,-,-,legs are immune to projectiles until end of startup frames
jump forward fierce,h,100,200,60,-,8,5,-,-,-,legs are immune to projectiles until end of startup frames
jump forward short,h,45,50,20,-,4,12,-,-,-,legs are immune to projectiles until end of startup frames
jump forward forward,h,85,100,40,-,7,4,-,-,-,legs are immune to projectiles until end of startup frames
jump forward roundhouse,h,110,200,60,-,10,3,-,-,-,legs are immune to projectiles until end of startup frames
jaguar crunch (right,h,30*50,50*50,40*20,-,23,2*2,13,-2,+4,+2 hit advantage on crouching opponent
focus attack lvl1,hl,60,100,20,-,21,2,39,-25,-25,
focus attack lvl2,hl,80,150,40,-,17+12,2,39,-19,-,
focus attack lvl3,-,140,200,60,-,61,2,44,-,-,
forward throw,0.93,130,140,40,-,3,2,20,-,-,untechable knockdown
back throw,1.05,130,120,40,-,3,2,20,-,-,untechable knockdown
jaguar kick short,hl,140,180,20/40,-,20,6,21,-3,-2,5~25f airborne, armor break
jaguar kick forward,hl,140,180,20/40,-,21,7,20,-3,-2,6~27f airborne, armor break
jaguar kick roundhouse,hl,130,180,20/40,-,22,8,20,-4,-2,7~29f airborne, armor break, frame advantage assumes 2nd hit
jaguar kick ex,h,80*70,90*110,-250/0,-,20,2*3,1+21,-2,-,1~24f immune to projectiles, 2~25f airborne, [1st air hit] knockdown, [2nd hit] untechable knockdown, armor break, can juggle
air jaguar kick short,hl,80,160,10/20,-,14,7,after landing 12,-,-,
air jaguar kick forward,hl,80,160,10/20,-,15,5,after landing 12,-,-,
air jaguar kick roundhouse,hl,80,160,10/20,-,16,3,after landing 12,-,-,
air jaguar kick ex,hl,90*70,110*90,-250/0,-,11,5*2,after landing 12,-,-,1~17f immune to projectiles, 2~25f airborne, [1st air hit] knockdown, [2nd hit] untechable knockdown, can juggle
rising jaguar short,hl,50*80,100*70,30/20*20,su,4,2(6)4,17+13,-13,-,1~5f feet immune to strikes and projectiles, 6f~ airborne, knockdown, can juggle
rising jaguar forward,hl,90*50,110*70,30/20*20,su,5,2(6)5,22+13,-19,-,1~6f upper body immune to strikes and projectiles, 1~5f unthrowable, 7f~ airborne, knockdown, can juggle
rising jaguar roundhouse,hl,50*100,70*120,30/20*20,su,5,2(6)9,22+13,-23,-,1~6f invincible, 6f~ airborne, knockdown, can juggle
rising jaguar ex,hl,80*40*40,100*60*60,-250/0,su,5,4(8)2*6,24+10,-33,-,1~8f invincible, 6f~ airborne, knockdown, can juggle, guard advantage based on 1st hit only
jaguar tooth short,hl,120,150,10/40,-,from wall 12,4,after landing 20,-4,+1,22f to wall, 7f~ airborne towards wall, [air hit] knockdown, armor break
jaguar tooth forward,hl,120,150,10/40,-,from wall 13,5,after landing 17,-1,+3,22f to wall, 7f~ airborne towards wall, [air hit] knockdown, armor break
jaguar tooth roundhouse,hl,120,150,10/40,-,from wall 14,7,after landing 18,-2,0,22f to wall, 7f~ airborne towards wall, [air hit] knockdown, armor break
jaguar tooth ex,hl,120,200,-250/0,-,from wall 7,7,after landing 20,-5,-,22f to wall, 1f~ until landing immune to projectiles, 7f~ airborne towards wall, [air hit] knockdown, armor break
jaguar varied assault,hl,50x5*70,0,-1000/0,-,1+7,3(9)2(11)2(11)2(18)3(39)3,40,-64,-,1~11f invincible, 89~135f airborne, [2nd ground hit] forces stand (translate), [5th hit] knockdown, [6th hit] untechable knockdown, [1st-4th air hit] knockdown, can juggle, 4th hit is cancellable, frame advantage based on 5th hit
thousand jaguar,hl,30*12xn,0,0/0,-,20,3(14)1(2)2(2)1(3)1(2)2,31,-12,-,[1st ground hit] forces stand, untechable knockdown, can juggle, press buttons to extend damage
assassin jaguar,hl,30x3*60,0,0/0,-,19,3(17)4(6)3(8)5,41+27,-83,-,2nd hit onwards airborne, knockdown, can juggle, frame advantage based on 1st hit
