close jab,hl,20,50,20,ch/sp/su,4,2,7,+2,+5,
close strong,hl,60,100,40,sp/su,5,2,9,+3,+6,
close fierce,hl,90,200,60,sp/su,9,2,16,0,+5,forces stand
close short,hl,20,50,20,ch/sp/su,5,1,7,+3,+6,
close forward,hl,60,100,40,sp/su,7,4,11,-1,+2,
close roundhouse,hl,40*60,125*75,60*20,su*-,12,1(8)3,17,-2,+3,forces stand
far jab,hl,20,50,20,ch/sp/su,6,2,7,+2,+5,
far strong,hl,70,100,40,su,7,2,12,0,+3,
far fierce,hl,100,200,60,-,14,4,16,-2,+3,only +2 on hit vs. crouching opponents
far short,hl,30,50,20,sp/su,6,2,8,+1,+4,
far forward,hl,60,100,40,-,8,3,11,0,+3,
far roundhouse,hl,100,200,60,-,11,6,15,-2,+2,[air hit] limited juggle knockdown, frame advantage is based on 2nd active frame
crouch jab,hl,20,50,20,ch/sp/su,4,2,10,-1,+2,
crouch strong,hl,60,100,40,sp/su,5,3,9,+2,+5,
crouch fierce,hl,90,200,60,sp/su,8,2,18,-2,+2,
crouch short,l,20,50,20,ch/sp/su,5,2,12,-3,0,
crouch forward,l,60,100,40,sp/su,7,3,16,-5,-2,
crouch roundhouse,l,100,200,60,-,12,3,18,-3,-,hard knockdown
jump up jab,h,40,50,20,-,5,7,-,-,-,
jump up strong,h,70,100,40,sp,7,6,-,-,-,
jump up fierce,h,90,200,60,sp,8,6,-,-,-,
jump up short,h,30,50,20,sp,6,5,-,-,-,
jump up forward,h,70,100,40,-,9,5,-,-,-,
jump up roundhouse,h,90,200,60,-,7,7,-,-,-,
jump forward jab,h,40,50,20,-,7,6,-,-,-,
jump forward strong,h,70,100,40,sp,8,5,-,-,-,
jump forward fierce,h,90,200,60,-,8,5,-,-,-,
jump forward short,h,40,50,20,sp,7,7,-,-,-,
jump forward forward,h,60,100,40,-,7,4,-,-,-,
jump forward roundhouse,h,90,200,60,sp,6,7,-,-,-,
right,h,70,100,40,-,20,5,3 + after landing 8,-2,+1,6f~ airborne
right,hl,40*60,125*75,60*20,su*-,12,1(8)3,17,-2,+3,1~11f feet invincible to projectiles and strikes, forces stand
super jump,-,-,-,-,see notes,-,-,see notes,,-,airborne 4f~, 1-3f fa/special/super/ultra cancellable, 11f landing recovery, can cancel midair to jump attack or jump special (3f landing recovery instead of 11f), neutral super jump is 48f+recovery, diagonal super jump is 44f+landing recovery, if no special moves are used
focus attack lvl 1,hl,60,100,20,-,26,2,40,-26,-26,
focus attack lvl 2,hl,90,150,40,-,17+17,2,40,-20,-,
focus attack lvl 3,-,150,200,60,-,70,2,40,-,-,
forward throw,0.91,130,100,40,-,3,2,20,-,-,hard knockdown
back throw,0.91,120,160,60,-,3,2,20,-,-,hard knockdown
thunder knuckle jab,hl,100,150,20/30,su,16,6,21,-2,+2,10~15f upper body invincible to strikes, 10~21f upper body invincible to projectiles, armor break, 8~9f can cancel into feint
thunder knuckle strong,hl,110,200,20/30,su,14,4,20,-1,+3,armor break, 7~8f can cancel into feint
thunder knuckle fierce,hl,70,150,30/40,su,7,16,14+13,-22,-,1~6f invincible, 7f unthrowable, 10f~ airborne, armor break, can juggle, 5~6f can cancel into feint
thunder knuckle ex,hl,60*60,100*100,-250/0,su,27,17,38,-5,-,crumples on hit, armor break, can juggle, 2nd hit can pass through opponent, 15~16f can cancel into feint
burning kick short,hl,100,100,20/30,-,23,4,17,-2,-,1f~ airborne, projectile hitbox
burning kick forward,hl,100,100,20/30,-,25,3,17,-1,-,1f~ airborne, projectile hitbox
burning kick roundhouse,hl,100,100,20/30,-,27,2,17,0,-,1f~ airborne, projectile hitbox
burning kick ex,hl,20x3*80,50x3*100,-250/0,-,9,2*1*2(11)10,23,-12,-,1~8f invincible, 1f~ airborne, can juggle, 4th hit projectile hitbox
burning kick short,hl,90,100,10/30,-,21,8,after landing 12,+6,-,projectile hitbox, block advantage is based on jump recovery
burning kick forward,hl,90,100,10/30,-,19,8,after landing 12,+4,-,projectile hitbox, block advantage is based on jump recovery
burning kick roundhouse,hl,90,100,10/30,-,17,9,after landing 12,+2,-,projectile hitbox, block advantage is based on jump recovery
burning kick ex,hl,20x3*80,50x3*100,-250/0,-,6,2*1*2(10)8,after landing 15,+2,-,can juggle, 4th hit projectile hitbox, block advantage is based on jump recovery
seismo hammer,l,120,100,20/30,su,24,8,31,-18,-,floats opponent, can cancel into super jump, cannot hit airborne opponents, 9~10f can cancel into feint
seismo hammer ex,l,100,100,-250/0,su,19,5,18,-2,-,1~13f strike invincible, floats opponent, can cancel into super jump, cannot hit airborne opponents, 8~9f can cancel into feint
