close jab,hl,30,50,20,ch/sp/su,3,3,6,+2,+5,
close strong,hl,70,100,40,sp/su,3,3,21,-3,+3,
close fierce,hl,100,200,60,sp/su,5,4,22,-7,-3,[ground hit] forces stand
close short,hl,30,50,20,sp/su,5,5,7,-1,+3,retains cancellable status when chained into
close forward,hl,80,100,40,sp/su,3,5,16,-7,-2,
close roundhouse,hl,40*70,125*75,60*20,su*-,8,8(2)4,17,-3,+2,[air hit] [1st hit] gives juggle state
far jab,hl,30,50,20,ch/sp/su,4,3,6,+2,+5,
far strong,hl,80,100,40,sp/su,5,4,14,-2,+2,
far fierce,hl,120,200,60,-,7,3,18,0,+3,[counter-hit] knockdown
far short,hl,40,50,20,-,5,6,6,-1,+2,
far forward,hl,70,100,40,-,7,4,15,-3,+2,
far roundhouse,hl,110,200,60,-,8,4,22,-8,-4,
crouch jab,hl,30,50,20,ch/sp/su,3,2,7,+2,+5,
crouch strong,hl,60,100,40,sp/su,4,4,8,+2,+5,
crouch fierce,hl,90,200,60,sp/su,6,6,23,-10,-5,[ground hit] forces stand
crouch short,l,20,50,20,ch/sp/su,4,3,9,-1,+2,
crouch forward,l,60,100,40,sp/su,7,3,16,-4,0,
crouch roundhouse,l,100,100,60,-,7,3,26,-11,-,[hit] hard knockdown
jump up jab,h,50,50,20,-,4,9,-,-,-,
jump up strong,h,80,100,40,-,4,5,-,-,-,
jump up fierce,h,100,200,60,-,4,4,-,-,-,
jump up short,h,40,50,20,-,5,9,-,-,-,
jump up forward,h,80,100,40,-,6,10,-,-,-,
jump up roundhouse,h,100,200,60,-,4,4,-,-,-,
jump forward jab,h,50,50,20,-,4,9,-,-,-,
jump forward strong,h,50*30,50*50,40*20,-,7,3*4,-,-,-,[air] [1st hit] gives perfect juggle state/ [2nd hit] gives juggle state and has pursuit property
jump forward fierce,h,100,200,60,-,6,4,-,-,-,
jump forward short,h,40,50,20,-,4,8,-,-,-,
jump forward forward,h,70,100,40,-,6,6,-,-,-,
jump forward roundhouse,h,100,200,60,-,7,4,-,-,-,
overhead right,h,30*50,50*50,40*20,-,17,2(1)2,18,-6,+4,[hit] -2 frame advantage against crouching opponents/ [counter hit] hitstun +2
right,hl,70,100,40,-,16,2,17,-2,0,3-4f feet [hit invincibility]/ 5~ midair/ 5~15 lower half of body [hit invincibility]/ pursuit property
down,hl,70,100,40,-,13,until landing,after landing 4,-,-,1~12 lower half of body [hit invincibility]
close strong,hl,90,100,60,su,8,3,20,-5,-,[hit] gives juggle state
focus attack lvl 1,hl,60,100,20,-,21,2,35,-21,-21,
focus attack lvl 2,hl,80,150,40,-,17+12,2,35,-15,-,
focus attack lvl 3,-,140,200,60,-,65,2,35,-,-,
