close jab,hl,30,50,20,ch/sp/su,4,2,5,+4,+7,
close strong,hl,60,100,40,sp/su,6,3,18,-7,-2,
close fierce,hl,90,150,60,sp/su,6,3,19,-4,+1,forces stand
close short,hl,30,50,20,ch/sp/su,6,2,7,+2,+5,
close forward,hl,70,100,40,sp/su,8,3,12,-1,+7,forces stand
close roundhouse,hl,110,200,60,sp/su,8,3,21,-6,-2,
far jab,hl,20,50,20,ch/sp/su,4,2,5,+4,+7,
far strong,hl,70,100,40,su,7,5,5,+4,+7,
far fierce,hl,100,200,60,-,11,3,16,-1,+3,
far short,hl,40,50,20,-,4,3,7,+1,+4,
far forward,hl,80,100,40,-,7,3,13,-2,+1,
far roundhouse,hl,130,200,60,-,11,3,18,-3,+1,
crouch jab,hl,30,50,20,ch/sp/su,3,3,6,+2,+5,
crouch strong,hl,60,100,40,sp/su,5,5,8,+1,+4,
crouch fierce,hl,100,200,60,sp/su,5,5,22,-9,-4,forces stand
crouch short,l,20,50,20,ch/sp/su,3,4,7,0,+3,
crouch forward,l,60,100,40,sp/su,4,2,16,-4,-1,
crouch roundhouse,l,100,100,60,-,8,3,21,-6,-,hard knockdown
jump up jab,h,50,50,20,-,7,9,-,-,-,
jump up strong,h,80,100,40,-,5,4,-,-,-,
jump up fierce,h,100,200,60,-,7,4,-,-,-,
jump up short,h,40,50,20,-,7,10,-,-,-,
jump up forward,h,80,100,40,-,6,7,-,-,-,
jump up roundhouse,h,100,200,60,-,6,2,-,-,-,
jump forward jab,h,40,50,20,-,7,8,-,-,-,
jump forward strong,h,70,100,40,-,5,6,-,-,-,
jump forward fierce,h,100,200,60,-,5,4,-,-,-,
jump forward short,h,50,50,20,-,5,7,-,-,-,
jump forward forward,h,80,100,40,-,6,4,-,-,-,
jump forward roundhouse,h,100,200,60,-,5,7,-,-,-,
left,h,80,100,40,-,15,2,17,-5,-2,
right,hl,60,100,40,-,11,5,11,-2,+1,
right,h,120,150,60,-,21,2,20,-4,-1,feint lasts 24f
target combo 1,hl,70,50,30,sp/su,6,3,24,-9,-4,forces stand
focus attack lvl 1,hl,60,100,20,-,22,2,42,-28,-28,
focus attack lvl 2,hl,90,150,40,-,17+13,2,42,-22,-,
focus attack lvl 3,-,150,200,60,-,68,2,42,-,-,
forward throw,0.92,120,80,40,-,3,2,20,-,-,hard knockdown
back throw,0.92,130,80,40,-,3,2,20,-,-,hard knockdown
hadoken,hl,60,100,10/20,su,14,-,total 47,-7,-3,17~18f cancellable
hadoken ex,hl,50*40,50*50,-250/0,su,14,-,total 43,0,+3,17~18f cancellable, can juggle
shoryuken jab,hl,120[80],100,30/40,su,3,11,18+8,-20,-,1~2f invincible, 3~5f unthrowable, 3~13 lower body invincibility, 6f~ airborne, [] refers to active frames 4~11
shoryuken strong,hl,90*60,125*75,30/30*16,su,4,3*11,25+14,-29,-,1~6f invincible, 7~17f lower body invincibility, 8f~ airborne, (additional juggle notes)
shoryuken fierce,hl,70*40*30,100*50*50,30/30*10*10,su,3,2*2*12,30+9,-30,-,1~4f invincible, 5~6f unthrowable, 5~18f lower body invincibility, 7f~ airborne, 1st hit floats airborne opponent, floats opponent on counter-hit through 2nd hit, (additional juggle notes)
shoryuken ex,hl,80*30*30*60,100*25*25*80,-250/0,su,4,2*2*2*8,45+9,-41,-,1~9f invincible, 10~17f lower body invincibility, 8f~ airborne, (additional juggle notes)
hurricane kick short,hl,60*50*50,70*50*50,20/20*10*10,su,6,1(4)2(6)2,11+6,-6,-2,7~20f lower body projectile invincibility, 7f~ airborne, armor break, (additional notes)
hurricane kick forward,hl,60*30x3,50*40x3,20/20*10x3,su,6,2(5)2(5)1(5)2(5)2,14+9,-4,0,8~41f lower body projectile invincibility, 8f~ airborne, armor break, (additional notes)
hurricane kick roundhouse,hl,60*30x4,50*40x4,20/20*10x4,su,6,2(6)1(5)1(5)1(5)1(5)1(5)2(4)2,12+12,-5,-1,9~51f lower body projectile invincibility, 9f~ airborne, armor break, (additional notes)
hurricane kick ex,hl,50*40x4,50x5,-250/0,su,6,2(4)1(3)1(4)1(3)1(4)1(4)1(3)1,9+14,-3,+1,8~39f lower body projectile invincibility, 8f~ airborne, armor break, (additional notes)
hurricane kick short,hl,50,50,10/30,-,8,[2(6)2](6)[(2(5)2],10,-,-,can juggle, (additional notes)
hurricane kick forward,hl,60,50,10/30,-,7,[1(4)1](4)[1(4)1](4)1,10,-,-,can juggle, (additional notes)
hurricane kick roundhouse,hl,70,50,10/30,-,7,[1(2)1](3)1(6)[1(3)1](2)1,10,-,-,can juggle, (additional notes)
hurricane kick ex,hl,40,50,-250/0,-,6,[1(2)1](2)[1(2)1](2)[1(2)1](1)2,-,-,-,can juggle, (additional notes)
super combo,hl,40x3*50*100x2,0,-1000/0,-,1+1,2*1*8(20)1*3*7,31+12,-29,-,1~2f invincible, 3f projectile invincible, 5~24f 37f~ airborne, jab startup is 1+1, (additional notes)
ultra combo 1,hl,60*30x9[500],0,0/0,-,0+10,2*2*5x7*1,32+50,-94,-,1~11f invincible, 12~13f unthrowable, 13f~ airborne, [] refers to animation, (additional notes)
ultra combo 2,hl,75*17x9*23*225,0,0/0,-,0+7,2(5)93,8+42,-40,-,1~8f invincible, 9f~end of active frames lower body immune to strikes &amp; full body projectile invincibility, 7f~ airborne, (additional notes)
